# Title: Effects of Toxic Organic Compounds on Tenebrio molitor and Gregarina steini
# Abstract: Environmental pollution by toxic compounds affects various species of living organisms, their life cycles and symbiotic relationships. This study investigated the host-parasite relationship between Tenebrio molitor Linnaeus, 1758 (Coleoptera, Tenebrionidae) and Gregarina steini Berthold, 1827 (Eugregarinorida, Gregarinida) under exposure to o-xylene, formaldehyde and aniline at different concentrations. For laboratory studies, 480 larvae of T. molitor and five concentrations of the studied organic compounds were used. Groups of T. molitor, each consisting of ten individuals, were subjected to the tested compounds for 10 days following the initial weight measurement. We measured the body weight and survival rate of T. molitor and the number of G. steini in them to assess the impact of the tested organic compounds on the host-parasite relationship. For all the compounds studied, a decrease in body weight and high mortality were observed in T. molitor at high concentrations. The lethality of the studied organic compounds was concentration-dependent. o-Xylene showed low toxicity at lower concentrations (10.4 and 26.0 mg/kg of feed), with a survival rate of 93.3% and 86.7%, respectively. At a concentration of 10.4 mg/kg, no lethal cases in T. molitor were observed. At higher concentrations (78 and 104 mg/kg feed), T. molitor mortality significantly increased to 33.3% and 53.3%, respectively.
# Keywords: Tenebrio molitor, Gregarina steini, o-xylene, aniline, formaldehyde, host-parasite relationship, mortality, body mass change, ecotoxicology
# Columns: 
# - Compound: Name of the chemical compound used (e.g., aniline, formaldehyde, o-xylene)
# - mg/kg: Concentration of the compound in feed (mg/kg)
# - Start Weight (mg): Initial weight of T. molitor larvae (mg)
# - End Weight (mg): Final weight of T. molitor larvae after 10 days (mg)
# - Gregarina steini Count: Number of G. steini parasites found in the host
# - Change (mg): Net weight change of larvae (mg)
# - Change (%): Percent change in body weight compared to start weight
Compound,mg/kg,Start Weight (mg),End Weight (mg),Gregarina steini Count,Change (mg),Change (%)
Ortho-xylene,26,165,170,0,5,3.03
Ortho-xylene,26,164,146,29,-18,-10.98
Ortho-xylene,26,132,142,3,10,7.58
Ortho-xylene,26,147,157,30,10,6.8
Ortho-xylene,26,178,158,4,-20,-11.24
Ortho-xylene,26,144,154,32,10,6.94
Ortho-xylene,26,123,150,19,27,21.95
Ortho-xylene,26,153,170,4,17,11.11
Ortho-xylene,26,154,150,28,-4,-2.6
Ortho-xylene,26,128,163,49,35,27.34
Ortho-xylene,26,125,170,43,45,36
Ortho-xylene,26,176,146,1,-30,-17.05
Ortho-xylene,26,166,159,43,-7,-4.22
Ortho-xylene,26,128,159,23,31,24.22
Ortho-xylene,26,153,160,2,7,4.58
Ortho-xylene,26,131,159,29,28,21.37
Ortho-xylene,26,145,148,20,3,2.07
Ortho-xylene,26,147,140,32,-7,-4.76
Ortho-xylene,26,140,164,33,24,17.14
Ortho-xylene,26,160,157,46,-3,-1.88
Ortho-xylene,26,137,141,22,4,2.92
Ortho-xylene,26,167,164,16,-3,-1.8
Ortho-xylene,26,124,170,10,46,37.1
Ortho-xylene,26,149,151,,2,1.34
Ortho-xylene,26,134,150,,16,11.94
Ortho-xylene,26,146,162,,16,10.96
Ortho-xylene,52,154,153,19,-1,-0.65
Ortho-xylene,52,180,158,33,-22,-12.22
Ortho-xylene,52,121,158,39,37,30.58
Ortho-xylene,52,175,142,46,-33,-18.86
Ortho-xylene,52,158,147,8,-11,-6.96
Ortho-xylene,52,139,143,7,4,2.88
Ortho-xylene,52,174,147,2,-27,-15.52
Ortho-xylene,52,123,139,46,16,13.01
Ortho-xylene,52,157,151,20,-6,-3.82
Ortho-xylene,52,154,135,13,-19,-12.34
Ortho-xylene,52,155,132,16,-23,-14.84
Ortho-xylene,52,158,149,34,-9,-5.7
Ortho-xylene,52,179,154,14,-25,-13.97
Ortho-xylene,52,137,135,32,-2,-1.46
Ortho-xylene,52,125,149,22,24,19.2
Ortho-xylene,52,178,143,33,-35,-19.66
Ortho-xylene,52,175,133,37,-42,-24
Ortho-xylene,52,133,141,7,8,6.02
Ortho-xylene,52,154,132,29,-22,-14.29
Ortho-xylene,52,133,149,48,16,12.03
Ortho-xylene,52,144,160,23,16,11.11
Ortho-xylene,52,133,130,37,-3,-2.26
Ortho-xylene,52,142,142,47,0,0
Ortho-xylene,52,176,154,45,-22,-12.5
Ortho-xylene,52,170,148,,-22,-12.94
Ortho-xylene,52,122,134,,12,9.84
Ortho-xylene,52,161,133,,-28,-17.39
Ortho-xylene,52,138,154,,16,11.59
Ortho-xylene,52,128,138,,10,7.81
Ortho-xylene,52,147,155,,8,5.44
Ortho-xylene,78,139,135,6,-4,-2.88
Ortho-xylene,78,133,121,18,-12,-9.02
Ortho-xylene,78,166,140,37,-26,-15.66
Ortho-xylene,78,172,127,39,-45,-26.16
Ortho-xylene,78,136,139,8,3,2.21
Ortho-xylene,78,152,125,13,-27,-17.76
Ortho-xylene,78,130,144,40,14,10.77
Ortho-xylene,78,178,147,29,-31,-17.42
Ortho-xylene,78,160,130,3,-30,-18.75
Ortho-xylene,78,147,123,1,-24,-16.33
Ortho-xylene,78,160,122,21,-38,-23.75
Ortho-xylene,78,160,136,28,-24,-15
Ortho-xylene,78,168,127,29,-41,-24.4
Ortho-xylene,78,131,132,10,1,0.76
Ortho-xylene,78,165,149,20,-16,-9.7
Ortho-xylene,78,140,146,47,6,4.29
Ortho-xylene,78,139,149,2,10,7.19
Ortho-xylene,78,163,144,8,-19,-11.66
Ortho-xylene,78,180,133,3,-47,-26.11
Ortho-xylene,78,154,135,33,-19,-12.34
Ortho-xylene,78,143,137,,-6,-4.2
Ortho-xylene,78,127,131,,4,3.15
Ortho-xylene,78,164,136,,-28,-17.07
Ortho-xylene,78,142,133,,-9,-6.34
Ortho-xylene,78,166,146,,-20,-12.05
Ortho-xylene,78,159,120,,-39,-24.53
Ortho-xylene,78,131,143,,12,9.16
Ortho-xylene,78,173,130,,-43,-24.86
Ortho-xylene,78,131,123,,-8,-6.11
Ortho-xylene,78,165,127,,-38,-23.03
Ortho-xylene,104,166,134,40,-32,-19.28
Ortho-xylene,104,138,119,28,-19,-13.77
Ortho-xylene,104,141,130,20,-11,-7.8
Ortho-xylene,104,170,124,19,-46,-27.06
Ortho-xylene,104,176,137,50,-39,-22.16
Ortho-xylene,104,123,114,27,-9,-7.32
Ortho-xylene,104,147,114,21,-33,-22.45
Ortho-xylene,104,131,140,2,9,6.87
Ortho-xylene,104,141,125,1,-16,-11.35
Ortho-xylene,104,143,137,26,-6,-4.2
Ortho-xylene,104,174,113,26,-61,-35.06
Ortho-xylene,104,127,140,37,13,10.24
Ortho-xylene,104,125,117,24,-8,-6.4
